Timestamp: 2024-07-25 18:01:47
PID: 0, Name: System Idle Process, CPU: 0.0%, Memory: 2.388963086100738e-05%
PID: 4, Name: System, CPU: 0.0%, Memory: 0.029372301143608576%
PID: 32, Name: svchost.exe, CPU: 0.0%, Memory: 0.030292051931757356%
PID: 72, Name: , CPU: 0.0%, Memory: 0.21832733643874647%
PID: 148, Name: Registry, CPU: 0.0%, Memory: 0.26432682066161617%
PID: 512, Name: smss.exe, CPU: 0.0%, Memory: 0.0035356653674290923%
PID: 548, Name: csrss.exe, CPU: 0.0%, Memory: 0.017248313481647327%
PID: 556, Name: wininit.exe, CPU: 0.0%, Memory: 0.01955366285973454%
PID: 580, Name: RuntimeBroker.exe, CPU: 0.0%, Memory: 0.023591010475244787%
PID: 724, Name: csrss.exe, CPU: 0.0%, Memory: 0.015337143012766738%
PID: 728, Name: fontdrvhost.exe, CPU: 0.0%, Memory: 0.012542056202028874%
PID: 836, Name: services.exe, CPU: 0.0%, Memory: 0.03991957316874333%
PID: 864, Name: LsaIso.exe, CPU: 0.0%, Memory: 0.011084788719507424%
PID: 876, Name: lsass.exe, CPU: 0.0%, Memory: 0.05943740158218636%
PID: 992, Name: svchost.exe, CPU: 0.0%, Memory: 0.0832195291043192%
PID: 1012, Name: msedge.exe, CPU: 0.0%, Memory: 0.14840238690857785%
PID: 1048, Name: svchost.exe, CPU: 0.0%, Memory: 0.04770759282943174%
PID: 1060, Name: RuntimeBroker.exe, CPU: 0.0%, Memory: 0.05717983146582117%
PID: 1116, Name: winlogon.exe, CPU: 0.0%, Memory: 0.03355298654428487%
PID: 1124, Name: steamwebhelper.exe, CPU: 0.0%, Memory: 0.044363044508890705%
PID: 1128, Name: svchost.exe, CPU: 0.0%, Memory: 0.02565746354472193%
PID: 1188, Name: fontdrvhost.exe, CPU: 0.0%, Memory: 0.01847862947098921%
PID: 1204, Name: svchost.exe, CPU: 0.0%, Memory: 0.06096633795729083%
PID: 1316, Name: svchost.exe, CPU: 0.0%, Memory: 0.016579403817539123%
PID: 1328, Name: steamservice.exe, CPU: 0.0%, Memory: 0.03935816684350966%
PID: 1364, Name: svchost.exe, CPU: 0.0%, Memory: 0.03848619531708289%
PID: 1372, Name: svchost.exe, CPU: 0.0%, Memory: 0.026290538762538625%
PID: 1380, Name: svchost.exe, CPU: 0.0%, Memory: 0.03590611518409409%
PID: 1448, Name: svchost.exe, CPU: 0.0%, Memory: 0.05884016081066117%
PID: 1464, Name: svchost.exe, CPU: 0.0%, Memory: 0.029754535237384694%
PID: 1480, Name: svchost.exe, CPU: 0.0%, Memory: 0.036825865972242876%
PID: 1568, Name: svchost.exe, CPU: 0.0%, Memory: 0.0346280199330302%
PID: 1624, Name: dwm.exe, CPU: 0.0%, Memory: 0.25375565900562036%
PID: 1688, Name: svchost.exe, CPU: 0.0%, Memory: 0.019637276567748066%
PID: 1696, Name: msedgewebview2.exe, CPU: 0.0%, Memory: 0.056976769603502606%
PID: 1704, Name: svchost.exe, CPU: 0.0%, Memory: 0.029228963358442533%
PID: 1732, Name: svchost.exe, CPU: 0.0%, Memory: 0.04054070357112952%
PID: 1760, Name: svchost.exe, CPU: 0.0%, Memory: 0.019183373581388927%
PID: 1764, Name: svchost.exe, CPU: 0.0%, Memory: 0.027950868107378634%
PID: 1836, Name: svchost.exe, CPU: 0.0%, Memory: 0.023614900106105795%
PID: 1916, Name: msedge.exe, CPU: 0.0%, Memory: 0.14643149236254474%
PID: 1920, Name: Code.exe, CPU: 0.0%, Memory: 0.09056559059407898%
PID: 1972, Name: svchost.exe, CPU: 0.0%, Memory: 0.03585833592237208%
PID: 1980, Name: svchost.exe, CPU: 0.0%, Memory: 0.03530887441256891%
PID: 2012, Name: svchost.exe, CPU: 0.0%, Memory: 0.046656449071547416%
PID: 2076, Name: svchost.exe, CPU: 0.0%, Memory: 0.021954570761265783%
PID: 2084, Name: svchost.exe, CPU: 0.0%, Memory: 0.031713484967987295%
PID: 2148, Name: Code.exe, CPU: 0.0%, Memory: 0.7120662822586165%
PID: 2156, Name: svchost.exe, CPU: 0.0%, Memory: 0.019123649504236406%
PID: 2168, Name: NVDisplay.Container.exe, CPU: 0.0%, Memory: 0.145678968990423%
PID: 2292, Name: SearchProtocolHost.exe, CPU: 0.0%, Memory: 0.040457089863116%
PID: 2296, Name: svchost.exe, CPU: 0.0%, Memory: 0.03028010711632685%
PID: 2368, Name: svchost.exe, CPU: 0.0%, Memory: 0.01825167797780964%
PID: 2376, Name: svchost.exe, CPU: 0.0%, Memory: 0.04187852289934594%
PID: 2384, Name: svchost.exe, CPU: 0.0%, Memory: 0.023423783059217735%
PID: 2536, Name: MemCompression, CPU: 0.0%, Memory: 0.0019470049151721015%
PID: 2568, Name: svchost.exe, CPU: 0.0%, Memory: 0.028440605540029286%
PID: 2620, Name: svchost.exe, CPU: 0.0%, Memory: 0.021823177791530243%
PID: 2636, Name: svchost.exe, CPU: 0.0%, Memory: 0.026887779534063808%
PID: 2644, Name: svchost.exe, CPU: 0.0%, Memory: 0.024486871632532565%
PID: 2828, Name: svchost.exe, CPU: 0.0%, Memory: 0.03198821572288888%
PID: 2840, Name: steamwebhelper.exe, CPU: 0.0%, Memory: 0.7787541868071185%
PID: 2880, Name: msedge.exe, CPU: 0.0%, Memory: 0.45447633749980443%
PID: 2920, Name: svchost.exe, CPU: 0.0%, Memory: 0.020783978849076422%
PID: 2956, Name: svchost.exe, CPU: 0.0%, Memory: 0.027903088845656624%
PID: 2972, Name: svchost.exe, CPU: 0.0%, Memory: 0.058505705978607075%
PID: 3040, Name: svchost.exe, CPU: 0.0%, Memory: 0.020306186231856274%
PID: 3104, Name: svchost.exe, CPU: 0.0%, Memory: 0.02602775282306754%
PID: 3144, Name: RuntimeBroker.exe, CPU: 0.0%, Memory: 0.07743823843595543%
PID: 3152, Name: NVDisplay.Container.exe, CPU: 0.0%, Memory: 0.1848818532333361%
PID: 3172, Name: svchost.exe, CPU: 0.0%, Memory: 0.0543489102087918%
PID: 3192, Name: ShellExperienceHost.exe, CPU: 0.0%, Memory: 0.18848918749334823%
PID: 3216, Name: Code.exe, CPU: 0.0%, Memory: 0.38065737813929157%
PID: 3264, Name: spoolsv.exe, CPU: 0.0%, Memory: 0.045653084575385104%
PID: 3288, Name: RuntimeBroker.exe, CPU: 0.0%, Memory: 0.04259521182517616%
PID: 3520, Name: RuntimeBroker.exe, CPU: 0.0%, Memory: 0.05255718789421624%
PID: 3540, Name: jucheck.exe, CPU: 0.0%, Memory: 0.05094463781109824%
PID: 3592, Name: svchost.exe, CPU: 0.0%, Memory: 0.04654894573267288%
PID: 3636, Name: svchost.exe, CPU: 0.0%, Memory: 0.024713823125712134%
PID: 3656, Name: steamwebhelper.exe, CPU: 0.0%, Memory: 0.0970994046345645%
PID: 3704, Name: svchost.exe, CPU: 0.0%, Memory: 0.027401406597575464%
PID: 3776, Name: PhoneExperienceHost.exe, CPU: 0.0%, Memory: 0.5017897514200296%
PID: 3848, Name: svchost.exe, CPU: 0.0%, Memory: 0.053775559068127615%
PID: 3916, Name: svchost.exe, CPU: 0.0%, Memory: 0.020007565846093683%
PID: 3928, Name: svchost.exe, CPU: 0.0%, Memory: 0.028739225925791877%
PID: 3980, Name: svchost.exe, CPU: 0.0%, Memory: 0.036180845938995676%
PID: 4024, Name: Video.UI.exe, CPU: 0.0%, Memory: 0.011861201722490165%
PID: 4084, Name: RuntimeBroker.exe, CPU: 0.0%, Memory: 0.12545639646658024%
PID: 4168, Name: svchost.exe, CPU: 0.0%, Memory: 0.024737712756573143%
