Timestamp: 2024-07-25 18:07:05
PID: 0, Name: System Idle Process, CPU: 0.0%, Memory: 2.388963086100738e-05%
PID: 4, Name: System, CPU: 0.0%, Memory: 0.029766480052815195%
PID: 32, Name: svchost.exe, CPU: 0.0%, Memory: 0.029575363005927134%
PID: 72, Name: , CPU: 0.0%, Memory: 0.21832733643874647%
PID: 148, Name: Registry, CPU: 0.0%, Memory: 0.2647329443862533%
PID: 512, Name: smss.exe, CPU: 0.0%, Memory: 0.0035356653674290923%
PID: 548, Name: csrss.exe, CPU: 0.0%, Memory: 0.017272203112508336%
PID: 556, Name: wininit.exe, CPU: 0.0%, Memory: 0.01955366285973454%
PID: 580, Name: RuntimeBroker.exe, CPU: 0.0%, Memory: 0.023591010475244787%
PID: 724, Name: csrss.exe, CPU: 0.0%, Memory: 0.015372977459058251%
PID: 728, Name: fontdrvhost.exe, CPU: 0.0%, Memory: 0.012542056202028874%
PID: 836, Name: services.exe, CPU: 0.0%, Memory: 0.03978818019900779%
PID: 864, Name: LsaIso.exe, CPU: 0.0%, Memory: 0.011084788719507424%
PID: 876, Name: lsass.exe, CPU: 0.0%, Memory: 0.059568794551921905%
PID: 992, Name: svchost.exe, CPU: 0.0%, Memory: 0.08339870133577677%
PID: 1012, Name: msedge.exe, CPU: 0.0%, Memory: 0.14836655246228633%
PID: 1048, Name: svchost.exe, CPU: 0.0%, Memory: 0.048543729909567%
PID: 1060, Name: RuntimeBroker.exe, CPU: 0.0%, Memory: 0.05714399701952966%
PID: 1116, Name: winlogon.exe, CPU: 0.0%, Memory: 0.03356493135971537%
PID: 1124, Name: steamwebhelper.exe, CPU: 0.0%, Memory: 0.044363044508890705%
PID: 1128, Name: svchost.exe, CPU: 0.0%, Memory: 0.025681353175582938%
PID: 1188, Name: fontdrvhost.exe, CPU: 0.0%, Memory: 0.026230814685386104%
PID: 1204, Name: svchost.exe, CPU: 0.0%, Memory: 0.06099022758815184%
PID: 1316, Name: svchost.exe, CPU: 0.0%, Memory: 0.016579403817539123%
PID: 1328, Name: steamservice.exe, CPU: 0.0%, Memory: 0.03935816684350966%
PID: 1364, Name: svchost.exe, CPU: 0.0%, Memory: 0.03742310674376806%
PID: 1372, Name: svchost.exe, CPU: 0.0%, Memory: 0.026290538762538625%
PID: 1380, Name: svchost.exe, CPU: 0.0%, Memory: 0.03590611518409409%
PID: 1448, Name: svchost.exe, CPU: 0.0%, Memory: 0.0592343397198678%
PID: 1464, Name: svchost.exe, CPU: 0.0%, Memory: 0.029802314499106707%
PID: 1480, Name: svchost.exe, CPU: 0.0%, Memory: 0.03680197634138187%
PID: 1568, Name: svchost.exe, CPU: 0.0%, Memory: 0.03456829585587768%
PID: 1624, Name: dwm.exe, CPU: 0.0%, Memory: 0.2614003408811428%
PID: 1688, Name: svchost.exe, CPU: 0.0%, Memory: 0.019637276567748066%
PID: 1696, Name: msedgewebview2.exe, CPU: 0.0%, Memory: 0.056976769603502606%
